List of threatened sharks,,
,Order,Scientific name
1,Groundshark ,Triakis maculata
2,Groundshark ,Triakis acutipinna
3,Angel Shark,Squatina tergocellatoides
4,Angel Shark,Squatina punctata
5,Angel Shark,Squatina nebulosa
6,Angel Shark,Squatina guggenheim
7,Angel Shark,Squatina formosa
8,Angel Shark,Squatina argentina
9,Angel Shark,Squatina albipunctata
10,Angel Shark,Squatina aculeata
11,Groundshark ,Scylliogaleus quecketti
12,Groundshark ,Schroederichthys saurisqualus
13,Groundshark ,Mustelus whitneyi
14,Groundshark ,Mustelus schmitti
15,Groundshark ,Mustelus fasciatus
16,Groundshark ,Holohalaelurus punctatus
17,Groundshark ,Holohalaelurus favus
18,Groundshark ,Hemitriakis leucoperiptera
19,Carpet Shark,Hemiscyllium strahani
20,Carpet Shark,Hemiscyllium hallstromi
21,Groundshark ,Haploblepharus kistnasamyi
22,Groundshark ,Glyphis siamensis
23,Groundshark ,Galeus mincaronei
24,Dogfish,Centrophorus lusitanicus
25,Groundshark ,Carcharhinus borneensis
26,Groundshark ,Aulohalaelurus kanakorum
